,幣別,現金匯率本行買入,現金匯率本行賣出,即期匯率本行買入,即期匯率本行賣出
0,美金 (USD),29.315,29.985,29.64,29.79
1,港幣 (HKD),3.63,3.834,3.751,3.821
2,英鎊 (GBP),35.24,37.36,36.135,36.765
3,澳幣 (AUD),20.25,21.03,20.465,20.81
4,加拿大幣 (CAD),22.47,23.38,22.8,23.13
5,新加坡幣 (SGD),20.88,21.79,21.35,21.57
6,瑞士法郎 (CHF),29.93,31.13,30.54,30.93
7,日圓 (JPY),0.2095,0.2223,0.2163,0.2213
8,南非幣 (ZAR),-,-,1.821,1.911
9,瑞典幣 (SEK),2.56,3.08,2.89,3.01
10,紐元 (NZD),18.33,19.18,18.66,18.96
11,泰幣 (THB),0.7137,0.9037,0.8231,0.8691
12,菲國比索 (PHP),0.4739,0.6069,-,-
13,印尼幣 (IDR),0.00168,0.00238,-,-
14,歐元 (EUR),30.55,31.89,31.065,31.665
15,韓元 (KRW),0.02123,0.02513,-,-
16,越南盾 (VND),0.00103,0.00144,-,-
17,馬來幣 (MYR),5.745,7.225,-,-
18,人民幣 (CNY),4.342,4.504,4.409,4.469
